Video	Video title	Video publish time	Average view duration	Unique viewers	Average percentage viewed (%)	Views	Watch time (hours)	Subscribers	Impressions	Impressions click-through rate (%)
63zI8Z-A8_I	NBA 2K17 - THE PRO-AM LEGEND FINALLY HOPS ON MYPARK ft. KiddKuda & LOW	"Oct 28, 2016"	0:02:39	188	59.82	204	9.0512	0	2611	4.63
85Q47pPR9I0	PLAYING NBA 2K3 ON THE PARK WITH NBA LEGENDS!!	"Feb 10, 2017"	0:01:47	262	16.77	288	8.5752	3	3747	5.36
-gHlGIZNkWM	What Type of NBA 2K17 Player Are You?	"Mar 2, 2017"	0:04:10	107	58.87	123	8.5682	0	2889	2.39
5Fv5QUagefA	NBA 2K17 - I CAN'T BELIEVE HOW MANY PERFECT RELEASES DURANT'S SHOT GETS!!!	"Oct 29, 2016"	0:03:24	141	67.19	150	8.5105	0	2006	3.79
CTuuZsuIwcs	I QUIT NBA 2K18... I'M SICK OF BEING TAKEN ADVANTAGE OF...	"Jun 5, 2018"	0:04:50	91	43.3	105	8.4745	0	2951	2.58
H0iusl8JpDI	THE NEW MOST POPULAR BUILD ON NBA 2K18	"Dec 22, 2017"	0:03:04	138	38.83	163	8.3326	1	2921	3.8
W8eUJs4Eo6g	"WE HAVE TO STOP NBA 2K17 FROM SHOOTING THEMSELVES!!! $250,000 ON THE LINE"	"Dec 5, 2016"	0:09:09	46	48.68	54	8.2366	0	1861	1.61
hYYfzcX7dbA	THE NBA 2K17 PAUL GEORGE LOADING SCREEN CHALLENGE 2017	"Feb 26, 2017"	0:01:00	458	13.17	486	8.1934	1	3788	10.77
cogFzXZIljs	NBA 2K17 RUINED MY LIFE....	"Jul 1, 2017"	0:02:18	188	20.78	211	8.1254	1	2813	5.76
3M12nznUq6o	THE MOST AUTOMATIC JUMP SHOT ON NBA 2K17! YOU WON'T NEED ANOTHER JUMP SHOT VIDEO AFTER WATCHING THIS	"Apr 15, 2017"	0:02:30	150	24.11	192	8.0352	0	2973	4.71
jLBEHJSppF4	NBA 2K19 COULD'VE FIXED 100% OF THEIR PROBLEMS... AND THEY DECIDED NOT TO	"Feb 8, 2019"	0:03:15	137	36.71	145	7.8666	0	5818	1.62
82R5uQM919s	THE BEST JUMPER IN NBA 2K18... JUST GOT BETTER!	"Oct 9, 2017"	0:03:02	129	38.92	152	7.7063	0	3262	3.22
-tSn4ejRXpU	NBA 2K17 AT LAUNCH vs. NBA 2K17 NOW	"Jan 3, 2017"	0:05:39	78	48.3	81	7.6404	0	1887	3.02
xUiex4Xx-TA	FORTNITE ON PC IS 1000X HARDER THAN FORTNITE ON PS4...	"Feb 26, 2018"	0:04:06	103	36.43	111	7.5941	0	2507	2.55
SH5KGOJcbmI	*MUST WATCH* THE BEST DUAL ARCHETYPE BUILD IN NBA 2K18	"Sep 4, 2017"	0:03:27	111	37.17	131	7.5466	0	3194	2.25
TcLZnuA9AJM	delete your build and make this one	"Jan 9, 2018"	0:02:54	140	68.15	154	7.4631	1	2628	2.66
g5LBNRJ8eMg	NBA 2K LEAGUE DRAFT WAS INTENSE! THIS IS EVERY NBA 2K PLAYER'S DREAM...	"Apr 6, 2018"	0:02:54	139	46.76	150	7.2866	0	3444	3.08
nXvCst3Hz8M	THE NBA 2K19 UPDATE WE'VE ALL BEEN WAITING FOR IS COMING: [PATCH 6]	"Nov 15, 2018"	0:02:46	139	39.55	157	7.2609	0	4136	1.84
VjySPA7Ijl0	THE GREATEST BASKETBALL GAME EVER DEVELOPED v2	"Feb 24, 2017"	0:03:25	103	30.59	127	7.2405	0	1965	4.33
O2ZFw-R_3_8	NBA 2K18 IS MAKING A MASSIVE MISTAKE THEY CAN'T COME BACK FROM...	"Feb 27, 2018"	0:04:16	91	32.49	101	7.1834	1	2305	1.08
u3Mo3BFsS04	7 THINGS I WISH I KNEW WHEN I WAS CREATING MY PLAYER IN NBA 2K17	"Dec 24, 2016"	0:03:44	86	46.64	113	7.0416	0	2339	3.08
Ns53b3fpfvw	WAITING FOR NBA 2K17 NEWS LIKE...	"Jul 20, 2016"	0:01:25	266	28.15	293	6.9881	0	4489	5.46
e2oQAkRh3B0	WATCH YOUR FG% INCREASE 20% AFTER USING THESE TIPS	"Sep 19, 2017"	0:03:29	109	43.56	119	6.9397	0	3215	2.15
x8NKkb_Ok8U	WILL I TRY TO JOIN THE NBA 2K LEAGUE?	"Dec 15, 2017"	0:02:27	145	25.74	169	6.925	0	2898	2.76
u4ba8jPd__4	NBA 2K16 Patrol - THE MOST STYLISH GUYS AT THE PARK BALL OUT	"Aug 16, 2016"	0:01:58	193	44.23	209	6.9074	0	3150	4.6
0s5eNnUCHYI	THE LAVAR BALL CHALLENGE 2017!! 5 LAVAR BALL'S vs. 1 MICHAEL JORDAN!!	"Mar 25, 2017"	0:05:37	62	40.24	71	6.6509	0	2080	2.02
XjQq0r0SvxY	THE BEST WAY TO SPEND 200K VC UPGRADING YOUR PLAYER	"Sep 15, 2017"	0:03:03	113	47.26	130	6.6383	0	3993	2.05
yl4LQN6GXL8	THIS JUMPSHOT IS LIGHTS OUT FROM LIMITLESS RANGE!! DEADLIEST JUMPSHOT IN NBA 2K17	"Jan 24, 2017"	0:02:56	112	27.07	135	6.6087	1	2372	3.96
05087BelYYc	NEW NBA PARK GAME: NBA PLAYGROUNDS!! INSANE GAMEWINNING ENDING!!!	"May 6, 2017"	0:05:07	62	33.85	76	6.495	0	1962	2.24
Ki9NL9VACa0	HELPING ROOKIES REP UP AND GET WINS...REVERSED!! ROOKIE CARRIES SUPERSTARS	"Jul 30, 2017"	0:03:41	93	53.61	105	6.4728	0	1893	2.48
TJTEoNInmQ0	YOU'LL REGRET NOT TRYING THIS ARCHETYPE IN NBA 2K18	"Sep 12, 2017"	0:03:36	95	33.62	107	6.4349	0	2589	2.74
DFRp2KOZ8x0	The REAL REASON LD2K IS LEAVING NBA 2K!?	"Nov 17, 2017"	0:02:05	161	30.8	182	6.3696	1	4160	3.25
S7eXT4LXm8I	7 THINGS I WISH I KNEW BEFORE I CREATED MY PLAYER	"Sep 30, 2017"	0:04:26	78	54.66	85	6.2982	0	2504	2.28
WMIuCJnU8cw	THE WORST DRIBBLER IN THE 2K COMMUNITY	"May 17, 2017"	0:03:10	110	53.28	116	6.1293	0	2051	3.56
PXqobSVlZhA	PRO-AM PLAYER DESTROYING HIGH REP PLAYERS ON MYPARK ANTE-UP!!! NBA 2K17 ANTE-UP 2000VC	"Dec 3, 2016"	0:03:48	88	75.13	95	6.0267	0	1812	2.15
a_Id3XMq6PE	GAME MODES & FEATURES THAT NEED TO BE IN NBA 2K18!! NBA 2K18 WISHLIST	"May 4, 2017"	0:05:20	55	32.2	67	5.9679	0	2038	1.57
Hml7g8fNoUM	DEAR 2K19 DEVELOPERS! THE SURVIVAL OF 2K19 PLAYGROUND DEPENDS ON THIS...	"Aug 13, 2018"	0:03:05	106	35.64	115	5.9201	1	3564	1.88
